xmodel,avgArea (min 50.0),triCount (max 0),dimX,dimY,dimZ,volume,refs
p7_fxanim_zm_bow_rune_prison_mod,1.67,13836,69.12,53.15,59.73,219437.19,1
p7_fxanim_zm_bow_rune_prison_dissolve_mod,1.67,13836,69.12,53.15,59.73,219437.19,1
c_zom_dlc3_raz_s_armcannon,0.22,12933,24.03,22.01,15.44,8164.15,1
c_zom_dlc3_raz_cannon_arm,0.24,12056,30.14,22.18,16.11,10765.72,1
p9_fxanim_zm_gp_speed_cola_lava_xmodel,0.07,12048,15.94,9.56,48.28,7360.52,1
p7_zm_moo_console_control,4.74,10002,51.30,85.57,56.52,248117.25,13
p8_zm_al_packasplat_engine,0.26,9615,15.15,22.54,17.29,5902.79,1
p7_zm_gen_shelf_industrial_vintage_96_lod,3.75,9284,99.54,34.08,85.71,290774.06,3
p7_zm_sta_computer_tower_01,1.39,9091,23.86,30.33,71.96,52074.34,6
p7_zm_sta_transformer_power,11.29,8936,85.20,157.65,145.00,1947568.50,4
p8_anim_zm_chaos_magic_box_skull,0.11,8694,8.30,11.10,10.52,968.99,1
p7_zm_ver_fountain,3.91,8381,70.12,70.12,126.82,623507.31,2
darksouls_blacksmith_statue,3.51,6636,48.16,58.50,57.83,162936.81,2
p7_zm_zod_magic_box_tentacle_teddy,0.45,6239,18.23,15.50,29.06,8211.01,1
p7_zm_kin_movie_projector_vintage,1.63,6020,24.69,64.84,58.44,93562.23,2
wpn_t7_zmb_perk_bottle_elemental_pop_view,0.07,6010,3.62,3.62,13.47,176.56,1
p7_zm_moo_barrel_01,2.42,5988,32.39,32.37,44.12,46260.17,6
p7_zm_ctl_plant_decor_grown,0.36,5842,23.17,21.59,41.06,20537.95,3
c_zom_chomper,0.07,5639,9.67,7.95,11.67,897.89,1
p7_zm_ctl_light_warning_tesla_transformer_snow,0.53,5574,18.91,11.19,54.42,11512.79,3
p7_zm_isl_ww_extractor_tank_01,1.60,5540,40.98,44.82,53.18,97676.80,3
p7_zm_sta_book_pile_burn_03,0.76,5475,50.82,91.87,5.04,23546.93,2
p7_zm_isl_cage_trap,4.51,5469,47.70,47.70,118.50,269621.91,2
p7_zm_ver_fountain_base,29.83,5362,188.61,188.61,28.00,996075.81,3
p7_zm_ctl_military_fuel_tank_lrg_snow,28.75,5170,102.19,163.12,107.95,1799367.13,2
p7_zm_sta_wall_trench_barbed_fence_01,1.50,5096,110.37,30.32,87.74,293625.03,14
p7_zm_ctl_radio_finder_antenna,0.12,5008,14.91,14.91,38.00,8448.22,3
p7_zm_ctl_light_sconce_metal,0.17,4605,19.00,12.30,20.27,4738.89,4
p7_zm_ctl_115_grenade,0.09,4496,14.00,3.58,3.58,179.17,1
p7_zm_ctl_chair_swivel_01,1.59,4376,41.42,41.42,44.87,76960.15,8
p7_zm_gen_desk_metal_115,7.66,4168,74.63,36.00,34.19,91856.86,1
p7_zm_ctl_115_grenade_broken,0.04,4029,5.77,3.60,3.60,74.52,1
aac_couch_01_armchair,2.19,3872,39.37,36.21,45.65,65075.84,9
p7_zm_ver_pole_telephone_whole,5.80,3854,82.78,105.50,407.72,3560812.50,3
c_t7_zm_dlchd_origins_mech_faceplate,0.47,3820,17.09,21.09,25.22,9090.01,1
p7_zm_kin_tank,3.45,3764,31.56,32.51,50.50,51810.09,5
p7_zm_isl_pipe_hp_12_valve_01_rust,1.00,3744,36.50,19.69,32.00,22996.91,2
p7_zm_sta_book_pile_burn_01,0.76,3724,40.50,74.78,6.59,19954.53,2
c_zom_mech_faceplate,0.53,3719,17.90,21.08,24.48,9239.07,1
p6_zm_vending_electric_cherry,5.20,3651,42.31,42.28,75.15,134428.97,1
p7_zm_ctl_animal_plush_vintage_monkey,0.07,3602,13.88,11.80,10.97,1797.85,2
p6_zm_vending_chugabud,6.82,3494,65.00,67.31,109.89,480779.06,1
p7_zm_ctl_comm_equip_top_01,3.32,3301,36.14,48.36,18.35,32073.70,2
p7_zm_moo_console_control_sml,6.11,3258,51.25,30.52,56.51,88378.68,2
p8_zm_al_packasplat_suitcase,1.32,3250,21.98,32.22,7.60,5378.66,1
p7_zm_kin_tank_open,3.76,3236,76.09,61.03,45.37,210698.88,2
p8_anim_zm_al_magic_box_lock_red,0.24,3009,10.04,3.23,14.63,474.22,1
c_zom_dlc3_raz_s_helmet,0.21,2958,11.37,11.67,11.47,1522.38,1
c_zom_dlc3_raz_s_cannonpowercore,0.32,2946,16.25,15.69,10.51,2679.99,1
p7_zm_isl_ww_extractor_pipe_01,1.12,2944,40.11,19.66,43.93,34630.84,3
c_zom_mech_gun_barrel,0.64,2944,15.19,13.65,13.87,2876.76,1
p7_zm_ctl_bow_pedestal,4.09,2930,43.04,45.55,42.04,82422.91,2
p8_anim_zm_chaos_magic_box_base,3.99,2922,108.25,48.12,10.28,53550.04,1
p7_zm_kin_movie_reel_vintage_03,0.67,2912,2.87,26.98,26.98,2089.74,9
aac_coffee_table_01,1.63,2778,55.07,34.20,17.59,33125.37,2
c_zom_dlc3_raz_s_chestplate,0.49,2753,20.32,18.42,20.87,7810.37,1
p7_zm_isl_ww_extractor_motor_01,0.76,2660,22.16,12.86,28.00,7982.57,3
p8_zm_al_packasplat_iv,0.21,2653,6.11,10.56,5.09,328.57,1
p7_zm_ctl_radio_reciever_02,0.39,2652,12.17,12.92,9.04,1421.83,2
p7_zm_gen_wood_debris,15.48,2464,175.69,210.26,12.35,456321.47,17
c_t7_zm_dlchd_origins_mech_claw,0.58,2434,28.64,24.94,13.99,9991.46,1
p7_zm_isl_fence_128,25.11,2386,128.00,6.32,106.20,85947.47,69
wpn_t7_grenade_frag_projectile,0.03,2324,3.05,3.01,3.53,32.35,1
p7_zm_ctl_radio_finder_receiver,0.41,2322,13.00,12.14,9.00,1420.44,3
wpn_t7_zmb_bow_demon_projectile,0.02,2258,26.22,2.11,2.49,137.24,1
rune_prison_death_skull,0.14,2123,9.70,6.70,8.20,532.90,1
p7_zm_gen_rubble_med_06_115,2.57,2096,40.20,44.22,29.73,52847.23,1
veh_t7_dlc1_motorcycle_german_wheel_front_snow_attach,0.86,2076,27.69,6.44,27.73,4944.84,2
p7_zm_ctl_chair_wood_02,2.25,2069,29.73,23.77,49.49,34976.84,2
p7_fxanim_zm_stal_dragon_hazard_fountain_banner_01_smod,21.25,1932,96.43,36.50,403.28,1419502.75,3
p7_fxanim_zm_stal_dragon_hazard_fountain_banner_02_smod,21.25,1932,96.43,36.50,403.28,1419502.75,7
p7_zm_ctl_book_vintage_row_04,1.12,1885,28.89,12.14,11.05,3877.90,2
p7_zm_ctl_book_vintage_row_04_burn,1.12,1885,28.89,12.14,11.05,3877.90,2
veh_t7_dlc1_motorcycle_german_wheel_rear_snow_attach,0.95,1766,27.69,14.36,27.73,11024.29,2
p7_zm_ctl_light_lamp_vintage_01,0.27,1762,17.37,8.48,17.99,2652.19,2
p7_zm_sha_foliage_grass_tall,8.89,1728,73.09,76.52,63.38,354457.25,19
p7_zm_gen_barrel_metal_55gal_green_drk_lod,3.50,1628,23.58,23.62,34.62,19277.87,6
p7_zm_ctl_barrel_metal_55gal_snow_capped_blue_1,3.50,1628,23.58,23.62,34.62,19277.87,30
p7_zm_ctl_barrel_metal_55gal_snow_blue,3.50,1628,23.58,23.62,34.62,19277.87,6
wpn_t7_zmb_bow_storm_projectile,0.03,1604,26.43,1.72,2.11,95.49,1
wpn_t7_zmb_bow_wolf_projectile,0.03,1552,26.23,2.00,2.08,109.14,1
p7_zm_sha_foliage_grass_line_01,6.28,1536,103.21,42.34,49.28,215326.25,51
p7_zm_moo_tank_nitrogen_metal,2.32,1476,18.21,18.26,50.08,16648.41,2
darksouls_elite_knight_helm,0.33,1428,9.30,14.55,14.39,1946.59,2
p7_zm_ctl_torn_iron_cross_flag_long,9.31,1381,78.57,12.68,164.01,163430.97,5
p7_zm_gen_file_cab_metal_115,7.95,1358,18.18,29.66,65.10,35113.52,1
p7_zm_ctl_table_metal_vintage_02_lrg,9.39,1271,36.00,72.00,36.00,93311.99,3
p7_zm_sha_crate_ammo_closed_sml_stack_full,6.52,1260,77.58,19.86,20.77,31992.79,2
p7_zm_sha_crate_ammo_closed_sml,6.52,1260,77.58,19.86,20.77,31992.79,3
p7_fxanim_zm_factory_diff_engine_risers_mod,12.77,1244,84.09,42.61,126.00,451496.16,1
darksouls_havels_greatshield,6.30,1194,68.11,43.45,36.75,108731.36,2
wpn_t7_zmb_bow_rune_projectile,0.04,1190,26.37,2.88,2.72,206.37,1
p7_zm_ctl_chemistry_kit_test_tube_rack_liquid,0.70,1136,5.33,16.89,12.41,1117.45,2
wpn_t7_zmb_bow_base_projectile,0.04,999,26.21,1.82,2.91,138.45,1
p7_zm_mob_cell_door_rt_60x102x2,8.55,990,61.64,2.51,102.01,15782.72,1
p7_zm_mob_bodybag_bloody,3.70,946,23.87,78.65,13.88,26054.75,2
p7_zm_ctl_chemistry_kit_test_tube_rack,0.75,944,5.33,16.89,12.41,1117.45,3
p7_zm_isl_pipe_hp_12_elbow_90_rust,2.45,924,25.00,18.00,25.00,11250.00,3
p7_zm_isl_pipe_hp_12_straight_32_rust,3.43,912,18.00,18.00,32.00,10368.00,3
p_glo_tools_chest_short,2.95,904,29.76,18.11,11.48,6188.86,2
p7_vld_rock_pile_small_02,1.46,892,47.15,53.84,5.41,13721.40,4
p7_zm_mob_bodybag_belt,0.26,872,21.23,58.96,12.01,15042.65,2
p_rus_desklamp_wmd_on,0.30,871,5.60,16.75,21.12,1978.66,2
base_book_group_07a,4.92,825,31.98,11.01,12.11,4265.02,2
darksouls_sunlight_shield,4.50,824,44.75,45.17,10.66,21547.48,2
p7_fxanim_zm_factory_diff_engine_printer_mod,6.02,804,45.89,55.74,104.46,267165.38,1
p7_zm_isl_light_wall_vintage,0.42,790,10.16,10.16,5.65,583.40,13
p7_zm_der2_teleporter_copper_pipes,5.26,742,157.27,123.72,67.70,1317261.13,2
darksouls_demons_great_hammer,8.56,736,33.63,118.82,33.62,134331.94,2
p7_zm_gen_foliage_grass_tall_cluster_lrg_sway_lod,45.80,715,135.00,94.74,82.64,1056865.13,2
c_zom_dlc3_raz_s_leftshoulderpad,0.64,704,11.67,10.10,13.71,1617.59,1
p7_zm_isl_pipe_hp_12_straight_64_rust,6.17,700,18.00,18.00,64.00,20736.00,2
p7_zm_ctl_book_vintage_open_01,0.82,645,11.30,19.77,2.13,475.64,2
p7_zm_ctl_book_vintage_open_05,0.81,643,11.30,19.77,1.85,413.22,2
p7_zm_mob_cell_gate_corridor,9.04,624,48.02,2.51,80.03,9659.98,1
par_newspaper_debris_01,8.14,615,185.65,125.05,2.21,51288.21,10
ger_crate_ration_02_open_01,10.66,590,29.93,22.14,18.21,12064.66,3
p7_zm_gen_rubble_med_10_115,3.61,581,24.83,18.09,21.86,9822.92,1
t8_wpn_zmb_projectile_blundergat,0.21,565,8.38,5.14,4.89,210.45,1
cup_mug_enamel_01_white,0.23,554,5.31,4.05,4.33,93.02,2
p7_zm_sha_barrel_metal_grey_dmg,9.29,550,27.69,29.60,43.66,35775.63,5
base_book_group_06a,4.91,532,18.11,12.33,12.11,2705.59,2
darksouls_dragon_tooth,7.18,522,31.05,112.54,19.17,66976.34,2
ger_crate_ration_02_open_01_chunks,10.48,490,29.93,22.14,16.09,10659.08,2
c_zom_dlc3_raz_s_leftthighpad,0.75,474,16.79,9.36,6.52,1025.72,1
p7_zm_der_difference_engine_base_04,44.26,430,43.05,51.33,67.37,148875.20,3
c_zom_dlc3_raz_s_rightthighpad,0.85,412,16.48,9.36,6.76,1043.05,1
p7_zm_isl_pipe_hp_12_flange_rust,1.58,384,18.00,18.00,1.64,532.91,4
dun_belongings_book_pile_01,30.83,361,68.05,112.83,9.16,70354.47,3
p7_fxanim_zm_factory_diff_engine_crank_mod,14.43,348,49.43,20.53,50.43,51176.82,1
p7_zm_ctl_chemistry_kit_jar_mid,3.20,336,12.00,12.00,23.54,3390.12,2
p7_zm_ctl_chemistry_kit_beaker_sm_liquid,0.51,328,4.53,4.13,4.62,86.46,2
p7_zm_zod_phone_wall_vintage,0.91,299,5.34,6.24,21.36,712.84,2
c_zom_mech_powersupply_cap,0.42,295,6.70,7.59,2.44,124.03,1
c_zom_mech_armor_shoulder_left,1.98,285,11.88,16.01,13.04,2480.18,1
c_zom_mech_armor_shoulder_right,1.99,285,11.77,15.92,13.01,2438.17,1
p7_zm_isl_light_wall_vintage_full,0.17,280,3.36,14.40,3.36,162.47,13
p7_barrel_metal_55gal_burned_interior,2.60,274,22.64,22.47,6.54,3326.59,6
p7_fxanim_zm_power_switch_mod,41.41,257,39.64,36.86,95.54,139607.67,1
p7_zm_isl_fence_post,36.74,254,6.36,6.36,108.01,4367.36,25
base_book_stack_01a,4.94,236,13.06,14.79,6.91,1334.84,2
aac_trash_debris_paper_01,5.58,190,59.78,46.65,4.41,12297.29,23
p7_wheel_barrow_street_vendor,38.71,184,34.37,70.05,39.16,94264.86,2
p7_light_lamp_desk_vintage_01_broken,2.31,183,13.04,15.69,19.68,4028.20,2
p7_snow_slush_floor_small02,1.42,181,55.71,39.79,1.78,3936.53,3
c_zom_mech_armor_knee_left,1.71,180,4.36,11.86,12.90,666.66,1
c_zom_mech_armor_knee_right,1.72,180,4.85,11.81,12.86,736.24,1
p7_zm_isl_foliage_grass_tall_cluster_sml_sway,11.37,168,44.61,33.73,35.11,52840.48,22
fx_char_gib_chunk_flesh01,0.40,150,4.98,1.51,5.99,45.20,1
p7_zm_der_light_shade,8.29,146,24.20,24.20,11.00,6442.89,15
p7_zm_zod_bookcase_vintage_ladder,49.52,146,46.58,24.03,180.21,201690.25,3
p7_zur_nw_clamp_lamp_factory_hanging,8.29,146,24.20,24.20,11.00,6442.89,3
p7_zm_moo_console_control_screen_on,2.36,144,4.19,40.95,10.64,1823.88,6
ger_crate_ration_02_closed_01,34.84,138,29.93,16.71,14.90,7451.85,9
p7_zm_der_light_spot_housing,12.60,126,24.53,25.52,25.97,16254.88,3
p7_snow_slush_floor_small03,1.65,125,43.78,40.97,2.48,4451.92,2
par_office_folder_papers_01,7.28,115,10.85,16.70,0.37,67.05,2
fx_char_gib_chunk_meat02,0.80,104,4.00,7.68,5.48,168.48,1
p7_zm_ori_magic_box_base_light_on_green,0.09,100,3.40,1.30,3.14,13.89,1
p7_zm_ori_magic_box_base_light_on_red,0.09,100,3.40,1.30,3.14,13.89,1
p7_zm_isl_foliage_moss_hanging_04,47.80,94,16.64,12.95,49.05,10573.02,6
p7_zm_der_light_vacuum_tube,12.08,88,11.00,13.54,24.40,3635.56,2
p7_zm_der_light_wall_mount,7.96,76,32.02,4.89,14.07,2201.56,15
p7_eth_light_floor_02,1.87,70,8.61,8.61,2.75,203.57,5
p7_vld_rock_pile_small_01,9.55,66,85.72,112.83,7.06,68301.05,70
p7_zm_der_teleporter_tesla_rod,28.87,64,39.37,76.21,53.04,159142.36,7
p7_light_flashlight,0.90,61,12.94,2.50,2.50,81.21,2
p7_barrel_vintage_wood_snow_01,48.52,60,25.03,25.03,32.62,20438.82,3
p7_light_hurricane_lamp,15.71,60,12.83,11.50,26.46,3905.17,2
fx_rifle_shell,0.07,58,0.50,2.45,0.48,0.59,1
fx_rifle_shell_blur,0.03,58,0.36,1.73,0.34,0.21,1
p7_fxp_debris_wood_splinter_03,0.39,52,1.00,6.09,1.13,6.85,1
p7_tools_jar_glass_nails_screws,3.86,48,4.49,4.49,6.92,139.80,3
fx_bullet_chain,0.03,48,0.91,0.86,0.46,0.36,1
p7_fxp_debris_wood_splinter_02,0.15,48,0.78,3.73,0.88,2.55,1
p7_zm_der_chainlink_fence_post_cap_snow,0.87,40,4.36,4.36,3.41,64.92,16
p7_zm_der_chainlink_fence_door_bracket_snow,2.24,40,4.06,14.17,2.96,170.34,13
c_zom_der_zombie_helmet1,7.07,32,10.01,10.56,9.27,979.39,1
p7_zm_der_transformer_rod,41.19,32,16.00,16.00,45.50,11647.99,27
p7_chemistry_kit_large_bottle,25.54,32,11.42,11.42,19.88,2592.38,1
p7_zm_der_teleporter,33.85,31,33.39,32.80,9.51,10412.37,9
p7_toolbox_handheld_small_red,44.98,30,10.01,25.59,9.51,2434.97,3
p7_zm_der_chainlink_fence_rail_end_snow,1.45,28,9.13,4.06,3.13,116.06,109
p7_zm_der_chainlink_fence_door_lock_snow,8.47,28,6.66,15.47,5.61,578.09,4
p7_zm_der_chainlink_fence_door_elbow_snow,3.61,24,4.51,7.29,7.15,235.25,13
p7_zm_der_chainlink_fence_door_elbow,3.61,24,4.51,7.29,7.15,235.25,13
p7_zm_der_teleporter_interior_beam,32.72,22,28.39,3.17,59.78,5382.82,6
p7_pottery_terracotta_g_tan_snow,32.06,22,14.12,14.12,13.94,2780.36,8
p7_zm_der_cabinet_lab_drawer,26.49,20,24.00,28.09,9.66,6513.80,4
p7_zm_der_teleporter_transformer_cloth,47.53,18,37.17,98.48,62.52,228845.91,2
p7_zm_der_light_bulb_glass_cover,4.20,18,4.04,4.04,7.01,114.65,4
p7_farm_tools_sickle_01,4.27,16,12.40,25.83,2.09,670.31,2
p7_gib_chunk_flesh_03,1.63,16,3.89,1.82,4.60,32.62,1
p7_gib_chunk_meat_02,3.93,16,4.00,7.68,5.48,168.48,1
p7_gib_chunk_meat_01,4.31,16,2.61,7.35,8.75,167.67,1
c_zom_zod_zombie_fem_body1_g_rarmspawn,1.62,16,10.08,4.44,4.24,189.80,1
p7_gib_chunk_flesh_02,1.75,16,1.42,5.32,4.56,34.36,1
p7_farm_tools_pliers_02,2.90,16,3.74,15.59,0.93,54.39,2
p7_lab_chemistry_set_beaker,3.67,16,4.97,4.97,8.02,198.01,2
p7_gib_chunk_flesh_01,2.48,16,4.98,1.51,5.99,45.20,1
p7_farm_tools_shovel_02,23.78,16,9.86,51.63,4.03,2048.69,2
p7_chemistry_kit_torch,9.34,16,6.00,6.00,12.01,432.31,2
p7_zm_der_chainlink_fence_metal_base_snow,12.70,16,9.88,9.88,9.98,973.07,16
p7_fxp_electric_arc_half_ring_01,0.03,16,1.05,1.49,3.15,4.95,1
p7_fxp_electric_arc_half_ring_02,0.03,16,1.77,1.49,3.12,8.23,1
p7_fxp_electric_arc_thin_01,0.12,16,39.38,3.32,3.99,521.21,1
p7_fxp_electric_arc_thin_04,0.13,16,39.39,3.95,3.34,518.82,1
p7_fxp_electric_arc_ring_01,0.06,16,0.95,4.13,4.14,16.19,1
p7_fxp_debris_metal_scrap_02,18.94,16,21.21,12.36,5.00,1310.93,1
p7_fxp_debris_metal_scrap_01,33.13,16,21.55,16.52,6.19,2201.82,1
p7_fxp_electric_arc_02,0.30,16,39.46,2.49,2.54,249.89,1
p7_fxp_electric_arc_01,0.42,16,39.47,6.29,4.72,1172.50,1
p7_pottery_terracotta_h_tan_snow,19.25,16,12.14,12.17,2.01,297.16,3
p7_zm_der_chainlink_fence_tension_band_snow,2.17,16,7.54,4.10,1.27,39.19,169
c_zom_zod_zombie_fem_body1_g_rlegspawn,8.35,16,11.92,8.81,4.88,512.85,1
p7_gib_chunk_bone_03,1.07,16,2.66,4.52,3.11,37.40,1
p7_gib_chunk_bone_02,0.91,16,2.83,3.32,2.05,19.34,1
p7_fxp_debris_wood_splinter_01,0.21,16,0.95,1.67,0.29,0.45,1
p7_fxp_debris_rock_01,0.75,16,2.59,1.59,1.72,7.13,1
p7_fxp_debris_rock_02,1.01,16,3.34,1.90,2.12,13.47,1
p7_fxp_debris_rock_03,2.50,16,4.58,4.01,1.96,36.05,1
p7_fxp_debris_car_glass_shatter_01,0.06,16,0.63,0.74,0.41,0.19,1
p7_fxp_debris_car_glass_shatter_02,0.07,16,0.60,0.79,0.42,0.20,1
p7_farm_tools_hammer,6.78,16,8.39,22.40,2.14,401.86,2
p7_gib_chunk_bone_01,0.66,16,1.93,2.13,4.84,19.91,1
p7_farm_tools_wrench,3.21,16,3.71,15.00,0.72,39.80,5
p7_zm_der_teleporter_interior_rod,13.15,16,6.40,11.98,10.80,828.16,9
p7_zm_der_teleporter_copper_pipes_eighth,14.61,16,24.63,54.81,2.75,3716.74,4
p7_farm_tools_pliers_01,1.79,16,4.95,12.55,1.32,81.94,3
p7_gib_chunk_meat_03,4.97,15,3.14,6.78,7.21,153.74,1
p7_tools_screwdriver,0.63,15,6.27,0.92,0.84,4.81,6
c_zom_zod_zombie_fem_body1_g_llegspawn,8.84,15,11.92,8.81,4.88,512.85,1
c_zom_zod_zombie_fem_body1_g_larmspawn,0.75,15,10.08,4.44,4.24,189.80,1
p7_zm_der_light_socket_02,2.13,14,3.72,3.72,2.08,28.82,15
p7_fxp_electric_arc_ring_02,0.09,14,0.98,4.60,3.49,15.72,1
p7_tools_hammer,2.96,12,5.76,13.85,1.19,95.03,2
p7_zm_der_light_bulb_small,4.10,12,2.33,2.33,4.99,27.07,20
p7_fxp_debris_car_glass_shatter_03,0.07,12,0.59,0.61,0.26,0.09,1
p7_chain_metal_bracket_01,9.90,12,6.00,6.00,5.00,180.00,10
p7_zm_der2_signage_hazard_01,33.50,8,15.24,0.65,13.59,134.72,10
p7_tools_nail,0.09,8,0.46,0.46,2.06,0.44,26
